episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
241,41,-17,115,True,False,3,0,3,0.29729358661854943
242,42,108,23,True,False,3,0,0,0.29580711868545667
243,43,40,61,True,False,2,0,2,0.2943280830920294
244,44,74,34,True,False,1,0,0,0.29285644267656924
245,45,-52,3,False,True,0,0,0,0.2913921604631864
246,46,-87,176,True,False,3,0,3,0.28993519966087045
247,47,95,29,True,False,3,1,0,0.2884855236625661
248,48,88,22,True,False,1,0,0,0.28704309604425327
249,49,-258,290,True,False,3,0,8,0.285607880564032
250,50,-6,106,True,False,3,0,4,0.28417984116121187
251,51,40,68,True,False,3,0,4,0.2827589419554058
252,52,67,46,True,False,2,0,1,0.28134514724562876
253,53,-77,161,True,False,3,0,3,0.2799384215094006
254,54,-15,110,True,False,3,0,1,0.27853872940185365
255,55,-79,140,True,False,2,0,9,0.27714603575484437
256,56,-110,186,True,False,3,0,4,0.2757603055760701
257,57,-87,34,False,True,1,0,1,0.2743815040481898
258,58,76,38,True,False,2,0,0,0.2730095965279488
259,59,-49,11,False,True,1,0,0,0.27164454854530906
260,60,-50,1,False,True,0,0,0,0.2702863258025825
261,61,86,14,True,False,0,0,0,0.2689348941735696
262,62,20,78,True,False,3,1,3,0.26759021970270175
263,63,94,17,True,False,1,0,0,0.2662522686041882
264,64,-84,160,True,False,3,0,4,0.2649210072611673
265,65,89,36,True,False,3,0,1,0.26359640222486147
266,66,-17,106,True,False,3,2,3,0.26227842021373715
267,67,99,20,True,False,2,0,1,0.2609670281126685
268,68,78,19,True,False,0,0,0,0.25966219297210513
269,69,-40,127,True,False,2,0,2,0.2583638820072446
270,70,55,47,True,False,2,0,3,0.2570720625972084
271,71,50,65,True,False,3,0,2,0.25578670228422234
272,72,31,76,True,False,2,0,1,0.25450776877280124
273,73,-84,48,False,True,2,0,0,0.2532352299289372
274,74,96,34,True,False,3,0,0,0.2519690537792925
275,75,72,31,True,False,1,0,0,0.2507092085103961
276,76,44,55,True,False,1,0,0,0.2494556624678441
277,77,-150,196,True,False,2,1,5,0.24820838415550486
278,78,-9,78,True,False,0,0,1,0.24696734223472733
279,79,14,82,True,False,2,0,2,0.2457325055235537
280,80,-28,135,True,False,3,0,0,0.24450384299593592
281,81,46,58,True,False,2,1,1,0.24328132378095624
